第一章 雪婷镇
练武场 冷峻青年 一个风程仆仆的侠客。
仓库 沙秃翁 这是一名秃头老者，一双鹰眼微闭。
东长廊 钟九曲 脸白无须，看起来不像练武之人。
北长廊 陆太保 面目凶光的中年汉子，虽是所谓名门正派，但手段极为凶残。
书斋 高锦毛 须发火红的中年汉子
花园 邓神鞭 一名面容黯淡的老人，但看外表，很难想到他是一名内外皆修的高手。
卧室 聂红衣 一名体态风流的少妇，酥胸微露，媚眼勾人。
独尊坛 左盟主 身穿杏黄长袍，冷口冷面，喜怒皆不行于色，心机颇深。
崖底 枯瘦的人 身形枯瘦，似乎被困于此多年，但眼神中仍有强烈的生存意志

第二十三章 寒梅庄
柳树林 柳府家丁 这是杭州有名大户柳府的家丁，穿着一身考究的短衫，一副目中无人的样子。
梅林 柳玥 柳府二小姐，只见她眸含秋水清波流盼，香娇玉嫩，秀靥艳比花娇，指如削葱根，口如含朱丹，一颦一笑动人心魂，旖旎身姿在上等丝绸长裙包裹下若隐若现。听说柳府二千金芳名远扬，传闻柳府大小姐月夜逃婚，至今不知下落。
老者 一个姓汪的老者，似乎有什么秘密在身上。
放鹤亭 筱西风 这是一名看起来很冷峻的男子，只见他鬓若刀裁，眉如墨画，身上穿着墨色的缎子衣袍，袍内露出银色镂空木槿花的镶边，腰上挂着一把长剑。
岳王庙 武悼 一个白发苍苍的老人，默默打扫着这万人景仰的武穆祠堂。
青石板大路 梅庄护院 一身家人装束的壮汉，要挂宝刀，看起来有些功夫。
大天井 梅庄家丁 一身家人装束的男子，看起来有些功夫。
大厅 施令威 一身家人装束的老者，目光炯炯，步履稳重，看起来武功不低。
百木园 丁管家 一身家人装束的老者，目光炯炯，步履稳重，看起来武功不低。
棋室 黑老二 这人虽然生的眉清目秀，然而脸色泛白，头发极黑而脸色极白，像一具僵尸的模样。据说此人酷爱下棋，为人工于心计。
酒室 向左使 这是一名身穿白袍的老人，容貌清癯，刻颏下疏疏朗朗一缕花白长须，身材高瘦，要挂弯刀。
奇槐坡 瘦小汉子 脸如金纸的瘦小的中年男子，一身黑衣，腰系黄带。
小院 柳蓉 这女子虽是一袭仆人粗布衣裳，却掩不住其俊俏的容颜。只见那张粉脸如花瓣般娇嫩可爱，樱桃小嘴微微轻启，似是要诉说少女心事。
厨房 丁二 这是一名满脸油光的中年男子，虽然其貌不扬，据说曾是京城御厨，蒸炒煎炸样样拿手。
偏房 聋哑老人 这是一名弯腰曲背的聋哑老人，须发皆白，满脸皱纹。据说他每天都去湖底地牢送饭。
画室 丹老四 此人髯长及腹，一身酒气，据说此人极为好酒好丹青，为人豪迈豁达。
临水平台 上官香云 这女子有着倾城之貌，闭月之姿，流转星眸顾盼生辉，发丝随意披散，慵懒不羁。她是江南一带有名的歌妓，据闻琴棋书画无不精通，文人雅士、王孙公子都想一亲芳泽。
书斋 秃笔客 这人身型矮矮胖胖，头顶秃得油光滑亮，看起来没有半点文人雅致，却极为嗜好书法。
琴室 琴童 这是一名青衣童子，扎着双髻，眉目清秀。
内室 黄老朽 这是一名身型骨瘦如柴的老人，炯炯有神的双目却让内行人一眼看出其不俗的内力。
隐秘小路 黑衣刀客 一身黑色劲装，手持大刀，看起来很凶狠。
练武场 青衣剑客 一身青衣，不知道练得什么邪门功夫，看起来脸色铁青。
凉棚 紫袍老者 看起来气度不凡的老人，紫色脸膛在紫袍的衬托下显得更是威严。
茅草屋 红衣僧人 这人虽然身穿红色僧袍，但面目狰狞，看起来绝非善类。
菜园 黄衫婆婆 虽已满头白发，但眉眼间依旧可见年轻时的娟秀。
地道1 地牢看守 身穿灰布衣裳，脸色因为常年不见阳光，看起来有些灰白。
地道2 地鼠 一只肥大的地鼠，正在觅食。
四重门 奎孜墨 这是一名身穿黑衣的年轻男子，一张脸甚是苍白，漆黑的眉毛下是艺术按个深沉的眼睛，深沉的跟他的年龄极不相符。
囚室 任教主 这名老者身材甚高，一头黑发，穿的是一袭青衫，长长的脸孔，脸色雪白，更无半分血色，眉目清秀，只是脸色实在白得怕人，便如刚从坟墓中出来的僵尸一般。

第二十四章 泰山
青州城外 镖师 当地镖局的镖师，现在被狼军士兵团团围住，难以脱身。
岱宗坊 挑夫 这青年汉子看起来五大三粗，估计会些三脚猫功夫。
石阶 黄衣刀客 这家伙满脸横肉，一付凶神恶煞的模样，令人望而生畏。
一天门 瘦僧人 他是一位中年游方和尚，骨瘦如柴，身上的袈裟打满了补丁。
天梯 柳安庭 这是个饱读诗书，却手无缚鸡之力的年轻书生。
石板路 石云天 生性豁达，原本是丐帮弟子，因为风流本性难改，被逐出丐帮。
弥勒院 朱莹莹 艳丽的容貌、曼妙的身姿，真是数不尽的万种风情。
白骡冢 欧阳留云 这是位中年武人，肩背长剑，长长的剑穗随风飘扬，看来似乎身怀绝艺。
小洞天 温青青 这名女子神态娴静淡雅，穿着一身石青色短衫，衣履精致，一张俏脸白里透红，好一个美丽俏佳人。
易安居士 这是有“千古第一才女”之称的李清照，自幼生活优裕，其父李格非藏书甚丰，小时候就在良好的家庭环境中打下文学基础。少年时即负文学的盛名，她的词更是传诵一时。中国女作家中，能够在文学史上占一席地的，必先提李易安。她生活的时代虽在北宋南宋之间，却不愿意随着当时一般的潮流，而专意于小令的吟咏。她的名作象《醉花阴》，《如梦令》，有佳句象“花自飘零水自流，一种相思两处闲愁”等等，都脍炙人口。
红门宫 程不为 此人出身神秘，常常独来独往，戴一副铁面具，不让人看到真面目，师承不明。
飞云阁 吕进 此人出身神秘，常常独来独往，戴一副铁面具，不让人看到真面目，师承不明。
万仙楼 司马玄 这是一名白发老人，慈眉善目，据说此人精通医术和药理。
三义柏 桑不羁 此人身似猿猴，动作矫健，因轻功出众，江湖中难有人可以追的上他，故而以刺探江湖门派消息为生。
山崖 鲁刚 一名隐士，据闻此人精通铸剑。
斗母宫 于霸天 此人身材魁梧，身穿铁甲，看起来似乎是官府的人。
山谷小溪 神秘游客 此人年纪虽不大，但须发皆白，一身黑袍，看起来气度不凡。
翠竹林 海棠杀手 这人的脸上看起来没有一丝表情，手里的刀刃闪着寒光。
石亭 路独雪 这人便是江湖有名的海棠杀手“三剑断命”，看起来倒也算是一表人才，只是双目透出的杀气却让人见之胆寒。
大石坪 铁云 据说杀手无情便无敌，这人看起来风流倜傥，却是极为冷血之人。
百丈崖 孔翎 据说他就是海棠杀手组织的首领，不过看他的样子，似乎不像是一个能统领众多杀手的人。
石桥 姬梓烟 这是一名极为妖艳的女子，一身黑色的紧身衣将其包裹得曲线毕露，估计十个男人见了十个都会心痒难耐。
朱樱林 柳兰儿 这是一个看起来天真烂漫的少女，不过等她的剑刺穿你的身体时，你才会意识到天真是多么好的伪装。
石门 布衣男子 这是一名身穿粗布衣服的男子，看起来很强壮。
巨石广场 阮小 这人五短身材，尖嘴猴腮。
跑马场 阮大 这人五短身材，尖嘴猴腮。
聚兵房 史义 这人身穿粗布劲装，满脸络腮胡，双眼圆瞪，似乎随时准备发怒。
茅舍 司马墉 这人穿着一身长袍，敏锐的双眼让人感觉到他的精明过人。
演武场 林忠达 这人看起来很普通，是那种见过后便会忘记的人。
三透天 铁面人 这人脸上蒙着一张黑铁面具，看不见他的模样，但面具后双眼却给人一种沧桑感。
地牢 铁翼 铁翼是铁血大旗门的元老。他刚正不阿，铁骨诤诤，如今被囚禁于此。
黑衣人 一个风程仆仆的侠客。
云步桥 李三 此人无发无眉，相貌极其丑陋。
酌泉亭 仇霸 此人独目秃顶，面目凶恶，来官府通缉要犯。
五大夫松 平光杰 这是一名身穿粗布衣服的少年，背上背着一个竹篓，里面放着一些不知名的药草。
望人松 玉师弟 此人一身道袍，看起来颇为狡诈。
十八盘 玉师兄 这人面色灰白，双眼无神，看起来一副沉溺酒色的模样。
南天门 玉师伯 泰山掌门的师叔，此人看起来老奸巨猾。
天街 任娘子 这是一名艳丽少妇，勾魂双面中透出一股杀气。
双鞭客栈 黄老板 双鞭客栈老板，看起来精明过人。
石阶 红衣卫士 一身红色劲装的卫士，看起来有些功夫。
迎旭亭 白飞羽 这人算得上是一个美男子，长眉若柳，身如玉树。
禅房 商鹤鸣 这人生的有些难看，黑红脸膛，白发长眉，看起来有些阴郁。
望河亭 西门允儿 这是一名极有灵气的女子，穿着碧绿纱裙。
玉皇殿 冯太监 皇帝身边鹤发童颜的太监，权势滔天，眼中闪着精光。
钟逍林 这是一名魁梧的中年男子，看起来内家功夫造诣不浅。
登封台 西门宇 这是一名身材伟岸的中年男子，看起来霸气逼人。
桃花峪入口 黑衣密探 这是一名蒙面密探。
桃花路 毒蛇 这是一条斑斓的大蛇，一眼看去就知道有剧毒
彩石溪 黄衣刀客 这家伙满脸横肉，一付凶神恶煞的模样，令人望而生畏。
垂钓台 筱墨客 这人脸上挂着难以捉摸的笑容，看起来城府极深。
木屋 铁恶人 铁毅同父异母之弟，为了「大旗门」宝藏，时常算计其大哥铁毅。
泰山派山门 迟一城 泰山弟子，剑眉星目，身姿挺拔如松。
前院 泰山弟子 这是一名青衣弟子，手里握着一把长剑。
厢房 建除 泰山掌门的弟子，身形矫健，看起来武功不错。
东灵殿 天柏 泰山掌门的师弟，看起来英气勃勃。
后院 天松 泰山掌门的师弟，嫉恶如仇，性子有些急躁。
休息室 玉师叔 泰山掌门的师叔，处事冷静，极有见识。
静观山房 泰山掌门 此人为泰山掌门，此人看起来正气凛然。

第二十五章 大旗门
危崖前 宾奴 阴宾所养的波斯猫
海边路 渔夫 这是一个满脸风霜的老渔夫。
海边 叶缘 刚拜入大旗门不久的青年。
渔船 老婆子 她面容被岁月侵蚀，风雨吹打，划出了千百条皱纹，显得那么衰老但一双眼睛，却仍亮如闪电，似是只要一眼瞧过去，任何人的秘密，却再也休想瞒过她。
小路 罗少羽 刚拜入大旗门不久的青年。
青衣少女 一个身材苗条，身着青衣的少女。
观月顶 日岛主 日岛主乃大旗门第七代掌门人云翼之妻，因看不惯大旗门人对其n妻子的无情，开创常春岛一派，以收容世上所有伤心女子。
礁石 潘兴鑫 刚到拜入大旗门不久的青年。
洞穴 铁掌门 他是大旗门的传人。
石屋 夜皇 他容光焕发，须发有如衣衫般轻柔，看来虽是潇洒飘逸，又带有一种不可抗拒之威严。
秘道 橙衣少女 她身穿轻纱柔丝，白足如霜，青丝飘扬。
紫衣少女 她身穿轻纱柔丝，白足如霜，青丝飘扬。
红衣少女 她身穿轻纱柔丝，白足如霜，青丝飘扬。
蓝衣少女 她身穿轻纱柔丝，白足如霜，蓝丝飘扬。
大堂 阴宾 她面上蒙着轻红罗纱，隐约间露出面容轮廓，当真美得惊人，宛如烟笼芍药，雾里看花
宾奴 阴宾所养的波斯猫
石室 朱藻 风流倜傥
X室 X衣少女 她身穿轻纱柔丝，白足如霜，青丝飘扬。
方舟外 卓三娘 闪电卓三娘轻功世无双，在碧落赋中排名第三。
风老四 风梭风九幽，但他现在走火入魔，一动也不能动了。
隐藏图 小白兔 小白兔白又白两只耳朵竖起来。
隐藏图 水灵儿 她满面愁容，手里虽然拿着本书，却只是呆呆的出神。
隐藏图 叶缘 一个风程仆仆的侠客。
隐藏图 罗少羽 一个风程仆仆的侠客。
隐藏图 潘兴鑫 一个风程仆仆的侠客。

第二十六章 大昭寺
小绵羊 一只全身雪白的的绵羊。
大绵羊 一只全身雪白的的绵羊。
小羊羔 一只全身雪白的的绵羊。
红牧羊女 一个牧羊女正在放羊。
白牧羊女 一个牧羊女正在放羊。
草原狼 一直凶残的草原狼。
白衣少年 年纪轻轻的少年，武功了得，却心狠手辣。
李将军 一个玄甲黑盔，身披白色披风的少年将军，虽面容清秀，却不掩眉宇之间的果决和坚毅。
突厥先锋大将 东突厥狼军先锋大将，面目凶狠，身披狼皮铠甲，背负长弓，手持丈余狼牙棒。
神秘甲士 身披重甲，手持长戟，不许旁人前进一步。
地宫暗哨 黑衣黑靴，一旦有外人靠近地宫，便手中暗器齐发。
守山力士 他们的双拳，便是镇守陵寝最好的武器。
城卫 一个年青的藏僧。
紫衣妖僧 附有邪魔之气的僧人。
塔僧 一个负责看管舍利塔的藏僧。
关外旅客 这是一位来大昭寺游览的旅客。
护寺喇嘛 一个大招寺的藏僧。
护寺藏尼（黄) 一个大招寺的藏尼。
护寺藏尼（白) 一个大招寺的藏尼。
灵空 灵空高僧是大昭寺现在的主持。
葛伦 葛伦高僧已在大昭寺主持多年。男女弟子遍布关外。
塔祝 这个老人看起来七十多岁了，看著他佝偻的身影，你忽然觉得心情沈重了下来。
胭松 胭松是葛伦高僧的得意二弟子。
余洪兴 这是位笑眯眯的丐帮八袋弟子，生性多智，外号小吴用。
陶老大 这是整天笑咪咪的车老板，虽然功夫不高，却也过得自在。
店老板 这位店老板正在招呼客人
野狗 一只浑身脏兮兮的野狗。
樵夫 你看到一个粗壮的大汉，身上穿著普通樵夫的衣服。
收破烂的 一个收破烂的。
乞丐 一个满脸风霜之色的老乞丐。
野狗 一只浑身脏兮兮的野狗，一双眼睛正恶狠狠地瞪著你。
卜一刀 他是个看起来相当英俊的年轻人，不过点神秘莫测的感觉。
镇魂将 金盔金甲的护陵大将。
头狼 狼群之王，体型硕大，狼牙寒锋毕露。

第二十七章 魔教
怪人 看起来像是只妖怪一般。
黑熊 一只健壮的黑熊。
店小二 这是一个忙忙碌碌的小二。
客店老板 一个贼眉鼠眼的商人。
冉无望 一个面容俊朗的少年，却眉头深锁，面带杀气。
船夫 一个船夫。
魔教弟子 这家伙满脸横肉，一付凶神恶煞的模样，令人望而生畏。
见钱开 此人十分喜好钱财。
贾布 他使得一手好钩法。
鲍长老 他一身横练的功夫，孔武有力。
葛停香 他天生神力，勇猛无比。
上官云 他使得一手好剑法。
桑三娘 她使得一手好叉法。
罗烈 他使得一手好枪法。
童长老 他使得一手好锤法
王诚 他使得一手好刀法。
魔教犯人 一个魔教的犯人，他们都是到魔教卧底的各大门派弟子事泄被捕的
花想容 她使得一手好刀法。
曲右使 他使得一手好钩法。
张矮子 他使得一手好武功。
张白发 他使得一手好掌法。
赵长老 她使得一手好叉法。
独孤风 此人是用剑高手。
杨延庆 他使得一手好枪法。
范松 他使得一手好斧法。
巨灵 他使得一手好锤法。
楚笑 虽是女子，但武功绝不输于须眉。
莲亭 他身形魁梧，满脸虬髯，形貌极为雄健。
东方教主 他就是日月神教教主。号称无人可敌。

第二十八章 星宿海
梅师姐 此人一脸干皱的皮肤，双眼深陷，犹如一具死尸。
天梵密使 天梵宗主密使，遮住了容貌，神秘莫测。
波斯商人 一个高鼻蓝眼的波斯商人。他看着你脸上露出狡猾的笑容。
矮胖妇女 一个很胖的中年妇女。
唐冠 唐门中的贵公子，父亲是唐门中的高层，看起来极自负
波斯老者 一个老者来自波斯，似乎是一个铁匠，脸上看起来有点阴险的感觉。
买卖提 买卖提是个中年商人，去过几次中原，能讲一点儿汉话
阿拉木罕 她身段不肥也不瘦。她的眉毛像弯月，她的眼睛很多情
伊犁马 这是一匹雄壮的母马，四肢发达，毛发油亮。
巴依 一个风尘仆仆的侠客。。
小孩 这是个小孩子
阿凡提 他头上包着头巾，长着向上翘的八字胡，最喜欢捉弄巴依、帮助穷人。他常给别人出谜语。
牧羊人 一个老汉，赶着几十只羊。
紫姑娘 她就是丁老怪弟子紫姑娘。她容颜俏丽，可眼神中总是透出一股邪气。
采药人 一个辛苦工作的采药人。
玄衣刀妖 一个白发老人，身着紫衣，眼神凶狠，太阳穴隆起，显是有不低的内力修为。
周女侠 身形修长，青裙曳地。皮肤白嫩，美若天人。恍若仙子下凡，是人世间极少的绝美女子。其武功修为十分了得。
毒蛇 一只有着三角形脑袋的蛇，尾巴沙沙做响
牦牛 这是一头常见的昆仑山野牦牛
雪豹 这是一头通体雪白的昆仑山雪豹，极为罕有
天狼师兄 他就是丁老怪的三弟子。
出尘师弟 他就是丁老怪的八弟子。他身才矮胖，可手中握的钢杖又长又重。
星宿派号手 他是星宿派的吹号手。他手中拿着一只铜号，鼓足力气一脸沉醉地吹着。
星宿派钹手 他是星宿派的击钹手。他手中拿着一对铜钹，一边敲一边扯着嗓子唱些肉麻的话。
星宿派鼓手 他是星宿派的吹鼓手。他面前放着一只铜鼓，一边敲一边扯着嗓子唱些肉麻的话。
狮吼师兄 他就是丁老怪的二弟子。他三十多岁，狮鼻阔口，一望而知不是中土人士
摘星大师兄 他就是丁老怪的大弟子、星宿派大师兄。他三十多岁，脸庞瘦削，眼光中透出一丝乖戾之气。
丁老怪 他就是星宿派开山祖师、令正派人士深恶痛绝的星宿老怪丁老怪。可是他看起来形貌清奇，仙风道骨。
采花子 采花子是星宿派的一个小喽罗，武功虽不好，但生性淫邪，经常奸淫良家妇女，是官府通缉的犯人，故而星宿派名义上也不承认有这个弟子。
铁尸 这人全身干枯，不像一个人，倒像是一具干尸。

第二十九章 茅山
野猪 一只笨笨的野猪
阳明居士 阳明居士潇洒俊逸，一代鸿儒，学识渊博且深谙武事，有「军神」之美誉，他开创的「阳明心学」更是打破了朱派独霸天下的局面。
道士 茅山派的道士，着一身黑色的道袍
孙天灭 孙天灭外号六指小真人，是林忌最喜爱的徒弟。他尽得林忌真传！
道灵 道灵真人是林忌的师弟，也是上代掌门的关门弟子，虽然比林忌小了几岁，但道行十分高深，「谷衣心法」已修炼到极高境界了。
护山使者 护山使者是茅山派的护法，着一身黑色的道袍
林忌 林忌是一位道行十分高深的修道者，你发现他的眼珠一个是黑色的，一个是金色的，这正是「谷衣心法」修炼到极高境界的徵兆。
万年火龟 一只尺许大小，通体火红的乌龟。
张天师 他是龙虎山太乙一派的嫡系传人，他法力高强，威名远播。
心魔 缺

第三十章 桃花岛
陆废人 他是黄岛主的三弟子。
神雕大侠 他就是神雕大侠，一张清癯俊秀的脸孔，剑眉入鬓。
老渔夫 一个看上去毫不起眼的老渔夫，然而……
后院、药房 桃花岛弟子 一个三十出头的小伙子，身板结实，双目有神，似乎练过几年功夫。
习武房 桃花岛弟子 一个二十多岁的小伙子，身板结实，双目有神，似乎练过几年功夫。
哑仆人 又聋又哑，似乎以前曾是一位武林高手。
哑仆 这是一个桃花岛的哑仆。他们全是十恶不赦的混蛋，黄药师刺哑他们，充为下御。
丁高阳 曲三的一位好友，神态似乎非常着急。
曲三 他是黄岛主的四弟子。
黄岛主 他就是黄岛主，喜怒无常，武功深不可测。
蓉儿 她是黄岛主的爱女，长得极为漂亮。
傻姑 这位姑娘长相还算端正，就是一副傻头傻脑的样子。
戚总兵 此乃东南海防驻军主将，英武之气凛凛逼人，威信素著，三军皆畏其令，从不敢扰民。

第三十一章 铁雪山庄
羊肠小道 樵夫 一个砍柴为生的樵夫。
密道 红樵夫 一个砍柴为生的樵夫。
世外桃源 欧冶子 华夏铸剑第一人，许多神剑曾出自他手。
翠竹庄门 老张 铁血山庄的门卫。
山庄前院 雪鸳 神秘的绿衣女子，似乎隐居在铁雪山庄，无人能知其来历。
翠竹屋 铁少 铁山是一个风流倜傥的公子。
雪蕊儿 雪蕊儿肤白如雪，很是漂亮。在这铁雪山庄中，和铁少过着神仙一般的日子。
小翠 铁雪山庄的一个丫鬟。
山庄后院 白袍公 一个一袭白衣的老翁。
黑袍公 一个一袭黑衣的老翁。
青石溪畔 陳小神 快活林里小神仙，一个眉清目秀的江湖新人，据说机缘巧合下得到了不少江湖秘药，功力非同一般，前途不可限量。
剑荡八荒 虬髯大汉，要凭一把铁剑战胜天下高手，八荒无敌。
魏娇 女扮男装的青衣秀士，手持长剑，英姿飒爽，好一个巾帼不让须眉。
神仙姐姐 白裙袭地，仙气氤氲，武林中冉冉升起的新星，誓要问鼎至尊榜，执天下之牛耳。
球霸酒家 小飞 『不落皇朝』的二当家，为人洒脱风趣，酷爱蹴鞠，酒量超群，以球入道。传闻只要饮下三杯佳酿，带醉出战，那么不论是踢全场、转花枝、大小出尖，流星赶月，他都能凭借出色的技艺独占鳌头。
半山桃林 寒夜·斩 一副浪荡书生打扮的中年剑客，据说他也曾是一代高手。
他 这人的名字颇为奇怪，只一个字。行为也颇为怪诞，总是藏在花丛里。不过武功底子看起来却一点都不弱。
出品人◆风云 江湖豪门『21世纪影业』的核心长老之一，与帮主番茄携手打下一片江山，江湖中威震一方的豪杰。
二虎子 一个已过盛年的江湖高手，像是曾有过辉煌，却早已随风吹雨打去。他曾有过很多名字，现在却连一个像样的都没有留下，只剩下喝醉后嘴里呢喃不清的“大师”，“二二二”，“泯恩仇”，你也听不出个所以然。
老妖 一个金眼赤眉的老人，传说来自遥远的黑森之山，有着深不可测的妖道修为。
欢乐剑客 『地府』威震江湖的右护法，手中大斧不知道收留了多少江湖高手的亡魂。
黑市老鬼 江湖人无人不知，无人不晓的黑市老鬼头，包裹里无奇不有，无所不卖，只要你有钱，什么稀奇的货品都有，比如黑鬼的凝视，眼泪，咆哮，微笑。。。一应俱全。
野猪岭 纵横老野猪? 两件普通的黑布衣衫罩在身上，粗犷的眉宇间英华内敛，目光凝实如玉，显出极高的修行。《参同契》有云：「故铅外黑，内怀金华，被褐怀玉，外为狂夫」。目睹此人，可窥一斑。
踏云小径 无头苍蝇 一个佝偻着身躯的玄衣老头，从后面看去，似是没有头一样，颇为骇人。
神弑☆铁手 武林中数一数二的后起之秀，和所有崛起的江湖高手一样，潜心修炼，志气凌云。
禅师 一个退隐的禅师，出家人连名字都忘怀了，只剩下眼中隐含的光芒还能看出曾是问鼎武林的高手。
道一 后起之秀，面若中秋之月，色如春晓之花，鬓若刀裁，眉如墨画。
真龙隐武阁 采菊隐士 一个与世无争的清修高人，无心江湖，潜心修仙。用「美男子」来形容他一点也不为过。身高近七尺，穿着一袭绣绿纹的紫长袍，外罩一件亮绸面的乳白色对襟袄背子。
武神步道 【人间】雨修 曾经的江湖第二豪门『天傲阁』的大当家，武勇过人，修为颇深。怎奈何门派日渐式微，江湖声望一日不如一日，让人不禁扼腕叹息，纵使一方霸主也独木难支。
破虚石台 男主角◆番茄 江湖豪门『21世纪影业』的灵魂，当世绝顶高手之一，正在此潜心修练至上武学心法，立志要在这腥风血雨的江湖立下自己的声威！
沉剑渊 剑仙 白须白发，仙风道骨，离世独居的高人。
破虚石台 冷泉心影 『不落皇朝』当之无愧的君主和领袖，致力破除心中习武障魔，参得无上武道。头上戴着束发嵌宝紫金冠，齐眉勒着二龙抢珠金抹额，如同天上神佛降临人世。
无双洞 汉时叹 身穿水墨色衣、头戴一片毡巾，生得风流秀气。『地府』帮的开山祖师，曾是武功横绝一时的江湖至尊。手中暗器『大巧不工』闻者丧胆，镖身有字『挥剑诀浮云』。
绣冬堂 烽火戏诸侯 身躯凛凛，相貌堂堂。一双眼光射寒星，两弯眉浑如刷漆。胸脯横阔，有万夫难敌之威风。武林至尊榜顶尖剑客，一人一剑，手持『春雷』荡平天剑谷，天下武林无人不晓！神剑剑身一面刻“凤年”，一面刻着“天狼”。
燕谿阁 阿不 器宇轩昂，吐千丈凌云之志气。?白衣黑发，双手负于背后，立于巨岩之顶，直似神明降世??。这是武林至尊榜第一高手，不世出的天才剑客，率『纵横天下』帮独尊江湖。手持一柄『穿林雨』长枪，枪柄上刻着一行小字：『归去，也无风雨也无晴』。

第三十二章 慕容山庄
家丁 一个穿着仆人服装的家丁。
邓家臣 他是慕容家四大家臣之首，功力最为深厚。
朱姑娘 这是个身穿红衣的女郎，大约十七八岁，一脸精灵顽皮的神气。一张鹅蛋脸，眼珠灵动，别有一番动人风韵。
慕容老夫人 她身穿古铜缎子袄裙，腕带玉镯，珠翠满头，打扮的雍容华贵，脸上皱纹甚多，眼睛迷迷朦朦，似乎已经看不见东西。
慕容侍女 一个侍女，年龄不大。
公冶家臣 他是慕容家四大家臣之二，为人稳重。
包家将 他是慕容家四大家臣之三，生性喜欢饶舌。
风波恶 他是慕容家四大家臣之四，最喜欢打架，轻易却不服输。
慕容公子 他是姑苏慕容的传人，他容貌俊雅，风度过人，的确非寻常人可比。
慕容家主 他是姑苏慕容的传人，可以说是自慕容龙城以下武功最为杰出之人。不仅能贯通天下百家之长，更是深为精通慕容家绝技。
小兰 这是一个蔓陀山庄的丫环。
严妈妈 一个中年妇女，身上的皮肤黝黑，常年不见天日的结果。
神仙姐姐 她秀美的面庞之上，端庄中带有稚气，隐隐含着一丝忧色。见你注目看她不觉低头轻叹。只听得这轻轻一声叹息。霎时之间，你不由得全身一震，一颗心怦怦跳动。心想：“这一声叹息如此好听，世上怎能有这样的声音？”听得她唇吐玉音，更是全身热血如沸！
王夫人 她身穿鹅黄绸衫，眉目口鼻均美艳无伦，脸上却颇有风霜岁月的痕迹。
小茗 这是一个蔓陀山庄的丫环。
船工小厮 一位年轻的船工。表情看上去很消沉，不知道发生了什么。
芳绫 她看起来像个小灵精，头上梳两个小包包头。她坐在地上，看到你看她便向你作了个鬼脸!你想她一定是调皮才会在这受罚!
无影斥候 经常在孔府徘徊的斥候。
柳掌门 封山剑派掌门，看似中了某种迷香，昏昏沉沉的睡着。

第三十三章 大理
摆夷女子 她是一个身着白衣的摆夷女子，长发飘飘，身态娥娜。
士兵 他是一个大理国禁卫军士兵，身着锦衣，手执钢刀，双目精光炯炯，警惕地巡视着四周的情形。
武将 他站在那里，的确有说不出的威风。
下关城台夷商贩 一位台夷族的商贩，正在贩卖一竹篓刚打上来的活蹦乱跳的鲜鱼。
乌夷商贩 一位乌夷族的商贩，挑着一担皮毛野味在贩卖。
土匪 这家伙满脸横肉一付凶神恶煞的模样，令人望而生畏。
猎人 一位身强力壮的乌夷族猎手。
皮货商 一位来远道而来的汉族商人，来此采购皮货。
牧羊女 她是一个摆夷牧羊女子。
牧羊人 他一个摆夷牧羊男子。
破嗔 他是一个和尚，是黄眉大师的二弟子。
破疑 他是一个和尚，是黄眉大师的大弟子。
段恶人 他身穿一件青布长袍，身高五尺有余，脸上常年戴一张人皮面具，喜怒哀乐一丝不露。
吴道长 一个看起来道风仙骨的道士。
农夫 一位乌夷族的农夫，束发总于脑后，用布纱包着，上半身裸露，下著兽皮。
乌夷老祭祀 一个乌夷族的祭司，身披乌夷大麾，戴着颇多金银饰物，显示其地位不凡。
少女 一位乌夷族的少女，以酥泽发，盘成两环，上披蓝纱头巾，饰以花边。
山羊 一头短角山羊，大理地区常见的家畜。
孟加拉虎 一只斑斓孟加拉虎，雄伟极了。
神农帮弟子 这是一个神农帮的帮众，身穿黄衣，肩悬药囊，手持一柄药锄。
无量剑弟子 这是无量剑派的一名弟子，腰挎一柄长剑，神情有些鬼祟，象是惧怕些什么。
朱护卫 他是大理国四大护卫之一。一副书生酸溜溜的打扮行头。
锦衣卫士 这是位锦衣卫士，身着锦衣，手执钢刀，双目精光炯炯，警惕地巡视着四周的情形。
太监 一个风尘仆仆的侠客。。
丹顶鹤 一只全身洁白的丹顶鹤，看来是修了翅膀，没法高飞了。
宫女 一位大理皇宫乌夷族宫女，以酥泽发，盘成两环，一身宫装，目无表情。
傅护卫 他是大理国四大护卫之一。
褚护卫 他是大理国四大护卫之一。身穿黄衣，脸上英气逼人。手持一根铁杆。
家丁 他是大理国镇南王府的家丁。
霍先生 他一身邋遢，形容委琐，整天迷迷糊糊的睡不醒模样。可是他的账务十几年来无可挑剔。原来他就是伏牛派的崔百泉，为避仇祸隐居于此。
华司徒 他是大理国三大公之一。华司徒本名阿根，出身贫贱，现今在大理国位列三公，未发迹时，干部的却是盗墓掘坟的勾当，最擅长的本领是偷盗王公巨贾的坟墓。这些富贵人物死后，必有珍异宝物殉葬，华阿根从极远处挖掘地道，通入坟墓，然后盗取宝物。所花的一和虽巨，却由此而从未为人发觉。有一次他掘入一坟，在棺木中得到了一本殉葬的武功秘诀，依法修习，练成了一身卓绝的外门功夫，便舍弃了这下贱的营生，辅佐保定帝，累立奇功，终于升到司徒之职。
范司马 他是大理国三公之一。
巴司空 他是大理国三公之一。一个又瘦又黑的汉子，但他的擅长轻功。
